STATE/UT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,total_crimes
A & N ISLANDS,2001,3,2,0,19,1,9,0,34
A & N ISLANDS,2002,2,1,0,17,3,4,0,27
A & N ISLANDS,2003,2,2,0,9,2,7,0,22
A & N ISLANDS,2004,10,3,0,6,3,5,0,27
A & N ISLANDS,2005,4,1,0,11,1,5,0,22
A & N ISLANDS,2006,6,5,0,14,4,7,0,36
A & N ISLANDS,2007,3,9,1,21,2,18,0,54
A & N ISLANDS,2008,12,13,2,24,3,26,0,80
A & N ISLANDS,2009,18,14,1,30,7,21,0,91
A & N ISLANDS,2010,24,8,0,31,10,9,0,82
A & N ISLANDS,2011,13,12,0,15,3,5,0,48
A & N ISLANDS,2012,12,7,2,17,4,5,0,47
A & N ISLANDS,2013,18,13,1,24,6,13,0,75
A & N ISLANDS,2014,19,14,1,25,6,13,0,78
A & N ISLANDS,2015,21,15,1,26,6,14,0,83
A & N ISLANDS,2016,22,16,1,27,7,14,0,87
A & N ISLANDS,2017,24,17,1,28,7,14,0,91
A & N ISLANDS,2018,25,18,1,29,8,15,0,96
A & N ISLANDS,2019,27,19,1,30,8,15,0,100
A & N ISLANDS,2020,28,20,2,31,8,16,0,105
A & N ISLANDS,2021,30,21,2,32,9,16,0,110
A & N ISLANDS,2022,31,22,2,33,9,17,0,114
A & N ISLANDS,2023,32,23,2,33,10,17,0,117
A & N ISLANDS,2024,34,24,2,34,10,18,0,122
ANDHRA PRADESH,2001,465,449,136,1986,1639,3254,0,7929
ANDHRA PRADESH,2002,516,440,172,2178,1126,4251,0,8683
ANDHRA PRADESH,2003,525,585,208,2567,1441,4968,1,10295
ANDHRA PRADESH,2004,582,564,238,2355,1387,4695,0,9821
ANDHRA PRADESH,2005,550,580,204,2184,1466,4541,3,9528
ANDHRA PRADESH,2006,562,760,258,2870,1558,4907,0,10915
ANDHRA PRADESH,2007,591,912,271,2788,2178,6595,0,13335
ANDHRA PRADESH,2008,724,842,298,3113,2623,6213,0,13813
ANDHRA PRADESH,2009,682,896,283,3434,2520,6562,0,14377
ANDHRA PRADESH,2010,899,963,350,3347,3554,7544,0,16657
ANDHRA PRADESH,2011,901,1078,326,3351,2665,8922,0,17243
ANDHRA PRADESH,2012,835,886,311,3420,2454,8669,0,16575
ANDHRA PRADESH,2013,907,1105,364,3706,3127,9010,0,18219
ANDHRA PRADESH,2014,946,1160,381,3845,3292,9484,0,19108
ANDHRA PRADESH,2015,985,1215,397,3984,3458,9959,0,19998
ANDHRA PRADESH,2016,1024,1270,414,4124,3624,10433,0,20889
