Year,Victims_Above_50_Yrs,Victims_Total,Victims_Upto_10_15_Yrs,Victims_Upto_10_Yrs,Victims_Upto_15_18_Yrs,Victims_Upto_18_30_Yrs,Victims_Upto_30_50_Yrs
2001,734,9083,235,447,688,4069,2910
2002,714,8641,166,277,170,4408,2906
2003,697,8265,155,258,280,4064,2811
2004,716,8838,212,342,226,4343,2999
2005,700,8481,166,309,236,4184,2886
2006,725,8169,161,316,256,3911,2800
2007,744,8701,185,357,244,4297,2874
2008,747,8821,176,349,234,4255,3060
2009,867,9471,185,395,239,4532,3253
2010,868,9480,164,371,239,4601,3237
