Year,Victims_Above_50_Yrs,Victims_Total,Victims_Upto_10_15_Yrs,Victims_Upto_10_Yrs,Victims_Upto_15_18_Yrs,Victims_Upto_18_30_Yrs,Victims_Upto_30_50_Yrs
2001,667,8370,203,386,625,3774,2715
2002,675,8196,158,254,146,4187,2776
2003,650,7505,136,249,240,3640,2590
2004,664,8119,138,317,207,4006,2787
2005,644,7952,152,290,194,3962,2710
2006,694,7686,144,290,233,3701,2624
2007,702,8106,160,329,193,4016,2706
2008,706,8186,156,324,204,3928,2868
2009,806,8718,153,351,193,4190,3025
2010,807,8742,134,343,194,4207,3057
