Area_Name,Year,Subgroup,Rape_Cases_Reported,Victims_Above_50_Yrs,Victims_Between_10-14_Yrs,Victims_Between_14-18_Yrs,Victims_Between_18-30_Yrs,Victims_Between_30-50_Yrs,Victims_of_Rape_Total,Victims_Upto_10_Yrs
Andaman & Nicobar Islands,2001,Total Rape Victims,3,0,0,3,0,0,3,0
Andaman & Nicobar Islands,2002,Total Rape Victims,2,0,0,1,1,0,2,0
Andaman & Nicobar Islands,2003,Total Rape Victims,2,0,0,1,0,0,2,1
Andaman & Nicobar Islands,2004,Total Rape Victims,10,0,1,7,1,1,10,0
Andaman & Nicobar Islands,2005,Total Rape Victims,4,0,0,2,2,0,4,0
Andaman & Nicobar Islands,2006,Total Rape Victims,6,0,2,1,1,0,6,2
Andaman & Nicobar Islands,2007,Total Rape Victims,3,0,0,3,0,0,3,0
Andaman & Nicobar Islands,2008,Total Rape Victims,12,0,1,7,3,1,12,0
Andaman & Nicobar Islands,2009,Total Rape Victims,18,0,3,7,5,1,18,2
Andaman & Nicobar Islands,2010,Total Rape Victims,24,0,1,12,8,1,24,2
Andhra Pradesh,2001,Total Rape Victims,871,14,138,254,328,80,871,57
Andhra Pradesh,2002,Total Rape Victims,1002,8,67,35,709,148,1002,35
Andhra Pradesh,2003,Total Rape Victims,946,7,135,215,429,127,946,33
Andhra Pradesh,2004,Total Rape Victims,1016,7,145,163,516,130,1016,55
Andhra Pradesh,2005,Total Rape Victims,935,6,106,177,490,124,935,32
Andhra Pradesh,2006,Total Rape Victims,1049,10,128,238,536,91,1049,46
Andhra Pradesh,2007,Total Rape Victims,1070,7,110,201,572,128,1070,52
Andhra Pradesh,2008,Total Rape Victims,1257,11,126,237,660,174,1257,49
Andhra Pradesh,2009,Total Rape Victims,1188,14,167,208,642,116,1188,41
Andhra Pradesh,2010,Total Rape Victims,1362,15,133,283,749,152,1362,30
Arunachal Pradesh,2001,Total Rape Victims,33,0,0,1,28,4,33,0
Arunachal Pradesh,2002,Total Rape Victims,38,0,0,3,30,5,38,0
Arunachal Pradesh,2003,Total Rape Victims,31,0,5,4,19,0,31,3
Arunachal Pradesh,2004,Total Rape Victims,42,0,9,0,31,0,42,2
Arunachal Pradesh,2005,Total Rape Victims,35,0,5,2,25,0,35,3
Arunachal Pradesh,2006,Total Rape Victims,37,0,0,0,34,3,37,0
Arunachal Pradesh,2007,Total Rape Victims,48,0,0,0,42,5,48,1
Arunachal Pradesh,2008,Total Rape Victims,42,0,7,0,31,0,42,4
Arunachal Pradesh,2009,Total Rape Victims,59,0,12,0,42,1,59,4
Arunachal Pradesh,2010,Total Rape Victims,47,0,10,0,34,1,47,2
Assam,2001,Total Rape Victims,817,2,73,245,370,119,817,8
Assam,2002,Total Rape Victims,970,0,0,3,621,346,970,0
Assam,2003,Total Rape Victims,1095,3,5,0,827,260,1095,0
Assam,2004,Total Rape Victims,1171,14,0,0,857,293,1171,7
Assam,2005,Total Rape Victims,1238,15,34,37,847,286,1238,19
Assam,2006,Total Rape Victims,1244,2,21,32,892,289,1244,8
Assam,2007,Total Rape Victims,1437,14,0,40,898,485,1437,0
Assam,2008,Total Rape Victims,1438,21,5,20,849,541,1438,2
Assam,2009,Total Rape Victims,1631,14,6,3,1230,377,1631,1
Assam,2010,Total Rape Victims,1721,10,9,29,1116,556,1721,1
Bihar,2001,Total Rape Victims,888,0,15,198,562,112,888,1
Bihar,2002,Total Rape Victims,1040,0,2,2,805,231,1040,0
Bihar,2003,Total Rape Victims,985,0,1,1,686,296,985,1
Bihar,2004,Total Rape Victims,1390,6,3,0,1018,363,1390,0
Bihar,2005,Total Rape Victims,1147,0,6,2,872,267,1147,0
Bihar,2006,Total Rape Victims,1232,9,0,17,956,250,1232,0
Bihar,2007,Total Rape Victims,1555,0,28,79,1186,253,1555,9
Bihar,2008,Total Rape Victims,1302,24,11,80,1028,159,1302,0
Bihar,2009,Total Rape Victims,929,0,19,32,765,101,929,12
Bihar,2010,Total Rape Victims,795,0,17,89,616,65,795,8
Chandigarh,2001,Total Rape Victims,18,0,8,4,4,3,19,0
Chandigarh,2002,Total Rape Victims,18,0,4,1,9,3,18,1
Chandigarh,2003,Total Rape Victims,18,0,1,5,7,2,18,3
Chandigarh,2004,Total Rape Victims,19,0,5,3,5,1,19,5
Chandigarh,2005,Total Rape Victims,33,0,4,10,5,7,33,7
Chandigarh,2006,Total Rape Victims,19,0,2,6,4,4,19,3
Chandigarh,2007,Total Rape Victims,22,0,3,2,11,3,22,3
Chandigarh,2008,Total Rape Victims,20,0,3,7,7,1,20,2
Chandigarh,2009,Total Rape Victims,29,0,8,10,8,0,29,3
Chandigarh,2010,Total Rape Victims,31,0,8,4,15,0,31,4
Chhattisgarh,2001,Total Rape Victims,959,4,191,218,384,137,959,25
Chhattisgarh,2002,Total Rape Victims,992,11,131,25,652,147,992,26
Chhattisgarh,2003,Total Rape Victims,898,5,97,62,376,331,898,27
Chhattisgarh,2004,Total Rape Victims,969,9,61,233,426,226,969,14
Chhattisgarh,2005,Total Rape Victims,990,16,112,255,392,200,990,15
Chhattisgarh,2006,Total Rape Victims,995,27,104,316,337,183,995,28
Chhattisgarh,2007,Total Rape Victims,982,13,117,219,500,101,982,32
Chhattisgarh,2008,Total Rape Victims,978,3,80,307,388,176,978,24
Chhattisgarh,2009,Total Rape Victims,976,9,227,87,460,113,976,80
Chhattisgarh,2010,Total Rape Victims,1012,16,87,271,424,190,1012,24
Dadra & Nagar Haveli,2001,Total Rape Victims,6,0,0,3,3,0,6,0
Dadra & Nagar Haveli,2002,Total Rape Victims,4,0,1,1,1,0,4,1
Dadra & Nagar Haveli,2003,Total Rape Victims,1,0,0,0,1,0,1,0
Dadra & Nagar Haveli,2004,Total Rape Victims,7,0,0,0,6,1,7,0
Dadra & Nagar Haveli,2005,Total Rape Victims,5,0,0,0,5,0,5,0
Dadra & Nagar Haveli,2006,Total Rape Victims,6,0,1,2,1,0,6,2
Dadra & Nagar Haveli,2007,Total Rape Victims,7,0,2,4,0,0,7,1
Dadra & Nagar Haveli,2008,Total Rape Victims,6,0,1,2,3,0,6,0
Dadra & Nagar Haveli,2009,Total Rape Victims,4,0,2,0,2,0,4,0
Dadra & Nagar Haveli,2010,Total Rape Victims,3,0,1,1,0,0,3,1
Daman & Diu,2001,Total Rape Victims,0,0,0,0,0,0,0,0
Daman & Diu,2002,Total Rape Victims,0,0,0,0,0,0,0,0
Daman & Diu,2003,Total Rape Victims,5,0,0,3,0,0,5,2
Daman & Diu,2004,Total Rape Victims,1,0,0,1,0,0,1,0
Daman & Diu,2005,Total Rape Victims,2,0,1,0,0,1,2,0
Daman & Diu,2006,Total Rape Victims,3,0,0,0,2,0,3,1
Daman & Diu,2007,Total Rape Victims,1,0,0,0,1,0,1,0
Daman & Diu,2008,Total Rape Victims,0,0,0,0,0,0,0,0
Daman & Diu,2009,Total Rape Victims,1,0,0,0,0,0,1,1
Daman & Diu,2010,Total Rape Victims,1,0,0,0,0,0,1,1
Delhi,2001,Total Rape Victims,381,0,81,154,59,41,383,48
Delhi,2002,Total Rape Victims,403,0,54,52,217,49,407,35
Delhi,2003,Total Rape Victims,490,0,50,76,321,17,490,26
Delhi,2004,Total Rape Victims,551,0,126,77,282,6,551,60
Delhi,2005,Total Rape Victims,658,2,120,55,404,25,666,60
Delhi,2006,Total Rape Victims,623,2,111,267,155,21,626,70
